stt,course_id,name_vi,name_en,is_open,managed_by,course_type,old_code,equivalent_ids,prerequisite_ids,prior_ids,credits_lt,credits_th
642,IT005,Nhập môn mạng máy tính,Introduction to Computer Networks,,MMT&TT,CSNN,,,,,3,1
643,IT006,Kiến trúc máy tính,Computer Architecture,,KTMT,CSNN,,,,PH002IT001,3,0
644,IT007,Hệ điều hành,Operating Systems,,KTMT,CSNN,OSYS1,,,IT006,3,1
645,IT008,Lập trình trực quan,Visual Programming,,CNPM,CN,,WINP1,,IT001IT002,3,1
646,IT009,Giới thiệu ngành,Introduction to Information Technology Disciplines,,PĐTĐH,CSNN,,CS005IE005IS005SE005CE005NT005NT015EC005DS005,,,2,0
647,IT010,Tổ chức và cấu trúc máy tính,Computer Organization and Architecture,,KTMT,CSN,,,,,2,0
648,IT011,Nhập môn lập trình thi đấu,Introduction to Competitive Programming,,KHMT,ĐC,,IT001,,,3,1
649,IT012,Tổ chức và cấu trúc máy tính 2,Computer Structure and Organization 2,,KTMT,CSNN,,,,,3,1
650,IT013,Cấu trúc dữ liệu cho lập trình thi đấu,Data Structures and Algorithms for Competitive Programming,,KHMT,ĐC,,IT003,,,3,1
651,ITEM1,Nhập môn Quản trị doanh nghiệp,Initiation to Business Administration,,PĐTĐH,ĐC,,SE349,,,2,0
652,ITEW1,Nhập môn công tác kỹ sư,Introduction to Tasks of an Engineer,,TTNN,ĐC,,IT009SS004,,,2,0
653,ITNT005,Communication,Communication,,HTTT,BT,,,,,0,0
654,JAN01,Tiếng Nhật 1,Japanese 1,,PĐTĐH,NN,,,,,2,3
655,JAN02,Tiếng Nhật 2,Japanese 2,,PĐTĐH,NN,,,JAN01,,2,3
656,JAN03,Tiếng Nhật 3,Japanese 3,,PĐTĐH,NN,,,JAN02,,2,3
657,JAN04,Tiếng Nhật 4,Japanese 4,,PĐTĐH,NN,,,JAN03,,2,3
658,JAN05,Tiếng Nhật 5,Japanese 5,,PĐTĐH,NN,,,JAN04,,2,3
